framenum,time,skier,centrex,centrey,safe
95,6.333333333333333,4,416,540,True
95,6.333333333333333,5,357,673,False
96,6.4,0,380,153,False
96,6.4,1,530,148,False
96,6.4,2,561,241,True
96,6.4,3,574,274,True
96,6.4,4,415,543,True
96,6.4,5,357,673,False
97,6.466666666666667,0,381,153,False
97,6.466666666666667,1,531,148,False
97,6.466666666666667,2,560,241,True
97,6.466666666666667,3,573,274,True
97,6.466666666666667,4,414,544,True
97,6.466666666666667,5,357,673,False
98,6.533333333333333,0,381,153,False
98,6.533333333333333,1,531,148,False
98,6.533333333333333,2,560,243,True
98,6.533333333333333,3,572,275,True
98,6.533333333333333,4,412,548,True
98,6.533333333333333,5,357,673,False
99,6.6,0,381,154,False
99,6.6,1,531,148,False
99,6.6,2,558,245,True
99,6.6,3,571,275,True
99,6.6,4,411,550,True
99,6.6,5,357,673,False
100,6.666666666666667,0,381,154,False
100,6.666666666666667,1,531,148,False
100,6.666666666666667,2,557,247,True
100,6.666666666666667,3,570,276,True
100,6.666666666666667,4,410,552,True
100,6.666666666666667,5,357,673,False
101,6.733333333333333,0,381,153,False
101,6.733333333333333,1,531,148,False
101,6.733333333333333,2,556,248,True
101,6.733333333333333,3,568,277,True
101,6.733333333333333,4,408,555,True
101,6.733333333333333,5,357,673,False
102,6.8,0,381,154,False
102,6.8,1,531,148,False
102,6.8,2,556,250,True
102,6.8,3,568,277,True
102,6.8,4,408,556,True
102,6.8,5,357,673,False
103,6.866666666666666,0,381,154,False
103,6.866666666666666,1,531,148,False
103,6.866666666666666,2,555,251,True
103,6.866666666666666,3,567,277,True
103,6.866666666666666,4,405,559,True
103,6.866666666666666,5,357,673,False
104,6.933333333333334,0,381,154,False
104,6.933333333333334,1,531,148,False
104,6.933333333333334,2,554,253,True
104,6.933333333333334,3,566,278,True
104,6.933333333333334,4,405,562,True
104,6.933333333333334,5,357,673,False
105,7.0,0,381,155,False
105,7.0,1,531,148,False
105,7.0,2,553,255,True
105,7.0,3,565,278,True
105,7.0,4,403,564,True
105,7.0,5,357,673,False
106,7.066666666666666,0,381,154,False
106,7.066666666666666,1,531,148,False
106,7.066666666666666,2,552,256,True
106,7.066666666666666,3,563,279,True
106,7.066666666666666,4,402,567,True
106,7.066666666666666,5,357,673,False
107,7.133333333333334,0,382,154,False
107,7.133333333333334,1,530,148,False
107,7.133333333333334,2,551,258,True
107,7.133333333333334,3,564,279,True
107,7.133333333333334,4,401,568,True
107,7.133333333333334,5,357,673,False
108,7.2,0,382,155,False
108,7.2,1,530,149,False
108,7.2,2,549,259,True
108,7.2,3,561,280,True
108,7.2,4,399,570,True
108,7.2,5,357,673,False
109,7.266666666666667,0,382,155,False
109,7.266666666666667,1,530,149,False
109,7.266666666666667,2,548,262,True
109,7.266666666666667,3,561,281,True
109,7.266666666666667,4,398,573,True
